Timestamp : 11|12_16:23
Mois,Lapins vivants,Lapins morts
1,4,0
2,6,9
3,6,9
4,7,16
5,7,16
6,10,20
7,10,20
8,12,35
9,11,36
10,12,56
11,12,56
12,16,75
13,16,75
14,21,88
15,21,92
16,26,117
17,28,119
18,30,150
19,32,167
20,34,201
21,39,219
22,45,244
23,50,263
24,58,283
25,62,304
26,71,339
27,79,381
28,89,424
29,100,469
30,101,524
31,114,579
32,116,627
33,124,685
34,135,747
35,150,815
36,161,892
37,175,964
38,187,1059
39,201,1149
40,220,1248
41,236,1362
42,252,1458
43,290,1590
44,303,1713
45,335,1860
46,348,1994
47,381,2165
48,397,2327
49,429,2515
50,466,2731
51,499,2942
52,550,3216
53,591,3470
54,670,3787
55,711,4076
56,764,4488
57,831,4843
58,902,5276
59,975,5693
60,1045,6248
61,1132,6749
62,1241,7394
63,1338,8022
64,1463,8718
65,1581,9406
66,1714,10268
67,1815,11123
68,1978,12083
69,2159,13031
70,2307,14107
71,2536,15284
72,2744,16526
73,2988,17921
74,3224,19426
75,3504,21098
76,3760,22933
77,4042,24967
78,4374,27029
79,4767,29411
80,5142,31706
81,5601,34546
82,6024,37211
83,6554,40470
84,7041,43723
85,7697,47468
86,8315,51048
87,9056,55496
88,9748,59739
89,10592,64856
90,11409,70037
91,12433,76182
92,13387,82216
93,14627,89203
94,15777,96283
95,17065,104577
96,18456,113001
97,20084,122418
98,21584,132369
99,23408,143445
100,25325,155151
101,27399,168246
102,29559,181967
103,32146,197084
104,34735,213205
105,37641,230870
106,40699,249462
107,44136,270118
108,47659,292217
109,51674,316360
110,55945,341974
111,60692,369975
112,65621,400410
113,71078,433622
114,76955,469508
115,83365,508589
116,90326,550552
117,97864,596169
118,105998,645688
119,115065,699397
120,124803,757541
121,135427,821009
122,146562,889424
123,158805,963772
124,171980,1043043
125,186402,1129852
126,201955,1223828
127,218953,1326573
128,237078,1436665
129,256922,1556639
130,278269,1685547
131,301528,1826076
132,326538,1978265
133,353873,2143395
134,383416,2322299
135,415404,2516034
136,450181,2726037
137,487403,2953383
138,528133,3198964
139,572116,3465720
140,619731,3754323
141,672138,4068472
142,727142,4407521
143,789209,4774738
144,854859,5172814
145,926608,5603439
146,1003731,6070703
147,1086665,6576441
148,1177049,7124004
149,1275316,7719883
150,1381712,8362550
151,1496759,9062371
152,1621226,9817459
153,1756123,10636797
154,1902221,11523312
155,2060608,12483303
156,2233135,13523145
157,2419392,14651922
158,2618942,15872521
159,2836216,17193621
160,3071237,18625539
161,3327942,20172763
162,3606189,21850059
163,3905466,23667979
164,4231193,25641593
165,4582145,27774661
166,4963941,30089286
167,5376812,32591296
168,5822514,35307111
169,6305882,38244070
170,6832151,41429811
171,7399086,44874640
172,8017219,48609975
173,8684236,52653279
174,9407859,57038359
175,10188731,61782390
176,11036287,66924722
177,11954550,72490458
178,12950453,78527201
179,14028272,85061062
180,15192853,92139789
99036,117664858
179,21017748,127462397
180,22765656,138055619
